date,title
"2025-01-01","New Year's Day"
"2025-01-22","Plurinational State Foundation Day"
"2025-02-02","Feast of the Virgin of Candelaria (obs.)"
"2025-03-03","Shrove Monday"
"2025-03-04","Shrove Tuesday"
"2025-03-19","Father's Day (obs.)"
"2025-03-23","Day of the Sea (obs.)"
"2025-04-12","Children's Day (obs.)"
"2025-04-17","Maundy Thursday (obs.)"
"2025-04-18","Good Friday"
"2025-05-01","Labour Day"
"2025-05-27","Mother's Day (obs.)"
"2025-06-06","Teacher's Day (obs.)"
"2025-06-19","Corpus Christi"
"2025-06-21","Andean Amazonian Chaqueño New Year"
"2025-08-06","Independence Day"
"2025-08-17","Flag Day (obs.)"
"2025-09-21","Student's Day (obs.)"
"2025-10-11","Bolivian Woman's Day (obs.)"
"2025-11-01","All Saints' Day (obs.)"
"2025-11-02","All Souls' Day"
"2025-12-25","Christmas Day"
